公司代碼,公司名稱,公司類別(大),公司類別(小),公司人數,公司資本額
1a2x6bishn,昱冠資訊股份有限公司,電腦軟體服務業,電腦軟體,暫不提供,1億5000萬元
a5hi0dc,旺宏電子股份有限公司,IC設計相關業,IC半導體研發設計、製造、行銷,3900人,183億
154zrwlk,遊戲橘子數位科技股份有限公司,其它軟體及網路相關業,B20 軟體相關業,1000人,17億5427萬元
1a2x6bj92p,炬識科技股份有限公司,其它軟體及網路相關業,資訊業,25人,930萬元
169tvn88,財團法人國家衛生研究院,其他教育服務業,學術研究及服務業,1400人,暫不提供
1jt7ol5,國泰人壽保險股份有限公司_總公司_國泰金控,人身保險業,人壽保險業,33000人,1000億
d6gs5o8,和碩集團_和碩聯合科技股份有限公司,電腦及其週邊設備製造業,電腦及其週邊設備製造業,6000人,220億
1a2x6bi2n1,台灣奈米碳素股份有限公司,化學原料製造業,化學原料製造業,暫不提供,2億6000萬元
5vp8u9c,捷普集團_綠點高新科技股份有限公司,其他電子零組件相關業,智慧型手機零組件,80000人,2700億
1jt7ol5,國泰人壽保險股份有限公司_總公司_國泰金控,人身保險業,人壽保險業,33000人,1000億
10whcigo,新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信),金融控股業,金融業,20000人,1226億400萬元
a5hi0dc,旺宏電子股份有限公司,IC設計相關業,IC半導體研發設計、製造、行銷,3900人,183億
g9nifhc,華新麗華股份有限公司,其他機械製造修配業,電機電工器材相關業,6500人,361億
18n64g34,遠傳電信股份有限公司,電信相關業,通訊/網際網路(第一及第二類通信),6300人,325億
169tvn88,財團法人國家衛生研究院,其他教育服務業,學術研究及服務業,1400人,暫不提供
