公司代碼,公司名稱,公司類別(大),公司類別(小),公司人數,公司資本額
al8tr00,艾奕康工程顧問股份有限公司,建築及工程技術服務業,提供全方位的工程技術及管理服務,350人,9100萬元
d5edmu8,鼎翰科技股份有限公司,電腦及其週邊設備製造業,條碼印表機研發、製造與銷售,750人,3億8555萬元
13qvhzjs,台新金控_台新國際商業銀行股份有限公司,銀行業,金融服務業,9000人,1145億
at3fhmo,GARMIN_台灣國際航電股份有限公司,電信相關業,衛星導航/電子電機/行動通訊/資訊軟體,6000人,78億
1a2x6bizrb,新加坡商立可人事顧問有限公司台灣分公司,人力仲介代徵,招募服務，中高階獵才服務、薪資管理服務,暫不提供,500萬元
wjct48g,國泰金控_國泰金融控股股份有限公司,金融控股業,金融證券保險相關業,400人,1200億
1a2x6bj0p0,台灣米高蒲志國際股份有限公司,人力仲介代徵,人力仲介代徵,暫不提供,500萬元
1a2x6bk2ip,GLOBAL B2B CONSULTANCY INC.,網際網路相關業,網際網路相關業,800人,暫不提供
1a2x6bk2ip,GLOBAL B2B CONSULTANCY INC.,網際網路相關業,網際網路相關業,800人,暫不提供
cipojso,英屬蓋曼群島商防特網股份有限公司台灣分公司,網際網路相關業,網際網路相關業,180人,暫不提供
1a2x6bk9u1,奧義智慧科技股份有限公司,暫不提供,軟體業,65人,1億
wjct48g,國泰金控_國泰金融控股股份有限公司,金融控股業,金融證券保險相關業,400人,1200億
d21bcow,花旗(台灣) 商業銀行股份有限公司,銀行業,金融服務業,暫不提供,暫不提供
1a2x6bkz8k,菜蟲農食股份有限公司,農╱畜╱水產品零售業,菜蟲農食是一個提供餐廳直接向生產者採購蔬菜食材的平台。 基於數據演算法、革新的商業模式、以及我們的餐廳夥伴及生產者網絡，我們正在推動現代、環境永續的農產運銷。,暫不提供,4216萬元
5fl6ank,台灣雅芳股份有限公司,藥品／化妝品及清潔用品零售業,美妝產品零售業,300人,2500萬元
1a2x6biv7k,布爾喬亞公關顧問股份有限公司,廣告行銷公關業,結合公關行銷專業、顧問思惟、資料科學，矢志成為大中華區最受青睞之公關顧問與形象設計師！,40人,2000萬元
7e11q60,復華證券投資信託股份有限公司,證券及期貨業,A-4金融証券產險相關業,390人,6億
1a2x6biv7k,布爾喬亞公關顧問股份有限公司,廣告行銷公關業,結合公關行銷專業、顧問思惟、資料科學，矢志成為大中華區最受青睞之公關顧問與形象設計師！,40人,2000萬元
yxcvx7k,日月光半導體製造股份有限公司,半導體製造業,製造業,25000人,950億
cpkop2w,海華科技股份有限公司,其他電子零組件相關業,網路通信業,暫不提供,12億9838萬元
yxcvx7k,日月光半導體製造股份有限公司,半導體製造業,製造業,25000人,950億
12pe9oxc,香港商戴德梁行不動產投資顧問有限公司台灣分公司,不動產經營業,不動產相關業,暫不提供,暫不提供
