公司代碼,公司名稱,公司類別(大),公司類別(小),公司人數,公司資本額
1a2x6blah2,資寶科技股份有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,18萬元
1a2x6bi286,台灣雙健維康生技顧問有限公司,其他醫療保健服務業,醫藥臨床生物科技業,53人,700萬元
wdapdfc,霖園關係企業_神坊資訊股份有限公司,網際網路相關業,電子商務營運與網路電信加值服務,130人,4億9999萬元
d1x6jfs,Dialog Semiconductor_德商戴樂格半導體有限公司台灣分公司,半導體製造業,Fabless company of Power Management IC,250人,暫不提供
olmlwc8,行動貝果有限公司,數位內容產業,AI人工智慧、雲端服務、自動化數據分析,暫不提供,1億5700萬元
oct97rc,星展(台灣)商業銀行股份有限公司,銀行業,金融業,暫不提供,300億
1a2x6bj0h2,精英人力資源股份有限公司,人力仲介代徵,就業服務、顧問諮詢,暫不提供,3000萬元
9kgoqw8,宏碁股份有限公司,電腦及其週邊設備製造業,資通訊產業：硬體+軟體+服務,7000人,280億
aijifeg,山富國際旅行社股份有限公司,旅遊服務業,旅遊休閒相關業,500人,2億7878萬元
fn5mtmo,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,其他電子零組件相關業,電子業,83000人,400億
12xvoi74,IQVIA_艾昆緯股份有限公司,生化科技研發業,藥品臨床試驗、藥品研發、醫藥顧問服務,暫不提供,暫不提供
wdapdfc,霖園關係企業_神坊資訊股份有限公司,網際網路相關業,電子商務營運與網路電信加值服務,130人,4億9999萬元
5wthkkw,緯創資通股份有限公司,電腦及其週邊設備製造業,資訊通訊產品軟硬體,80000人,277億
1a2x6bi2d7,博晶醫電股份有限公司,其它軟體及網路相關業,本公司產業範疇涵蓋醫療電子、運動生理、半導體、與無線通訊,40人,3400萬元
fn5mtmo,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,其他電子零組件相關業,電子業,83000人,400億
12xvoi74,IQVIA_艾昆緯股份有限公司,生化科技研發業,藥品臨床試驗、藥品研發、醫藥顧問服務,暫不提供,暫不提供
7lka688,凌網科技股份有限公司,電腦系統整合服務業,軟體開發設計/系統整合,350人,3億4633萬元
at3fhmo,GARMIN_台灣國際航電股份有限公司,電信相關業,衛星導航/電子電機/行動通訊/資訊軟體,6000人,78億
1a2x6blah2,資寶科技股份有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,18萬元
1a2x6bkynt,湛積股份有限公司,其它軟體及網路相關業,電機控制及軟體平台開發,60人,3億650萬元
1a2x6bkvw7,聯合智網股份有限公司,網際網路相關業,電子商務服務/品牌營銷/數據整合及分析,250人,2億5000萬元
1a2x6bjrwo,香港商易安聯股份有限公司台灣分公司,其它軟體及網路相關業,金融科技及結算網絡服務 (金融監管特許核准) ,100人,暫不提供
al8tr00,艾奕康工程顧問股份有限公司,建築及工程技術服務業,提供全方位的工程技術及管理服務,350人,9100萬元
1a2x6bk2ip,GLOBAL B2B CONSULTANCY INC.,網際網路相關業,網際網路相關業,800人,暫不提供
1a2x6bilhz,伊雲谷數位科技股份有限公司,網際網路相關業,雲端運算服務專家,300人,8億
1a2x6bkzzz,安智聯科技有限公司,電腦軟體服務業,資訊軟體服務業,40人,500萬元
wjct48g,國泰金控_國泰金融控股股份有限公司,金融控股業,金融證券保險相關業,400人,1200億
wjct48g,國泰金控_國泰金融控股股份有限公司,金融控股業,金融證券保險相關業,400人,1200億
18n64g34,遠傳電信股份有限公司,電信相關業,通訊/網際網路(第一及第二類通信),6300人,325億
dc41794,華鼎生技顧問股份有限公司,其他醫療保健服務業,其他醫療保健服務業,150人,4000萬元
5t7gcns,Phison Electronics Corp_群聯電子股份有限公司,IC設計相關業,IC設計業,1915人,19億7073萬元
wjct48g,國泰金控_國泰金融控股股份有限公司,金融控股業,金融證券保險相關業,400人,1200億
wjct48g,國泰金控_國泰金融控股股份有限公司,金融控股業,金融證券保險相關業,400人,1200億
18l2zs14,霹靂國際多媒體股份有限公司,廣播電視節目供應業,大眾傳播業,暫不提供,4億5000萬元
b6ctt6w,東森新媒體控股股份有限公司,網際網路相關業,網路+媒體+新聞+寵物實體通路,900人,10億
wjct48g,國泰金控_國泰金融控股股份有限公司,金融控股業,金融證券保險相關業,400人,1200億
1a2x6bl08x,Qualcomm Semiconductor Corporation_高通半導體有限公司,IC設計相關業,IC設計業,暫不提供,暫不提供
1a2x6bjpwh,麟數據科技股份有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,6000萬元
ad0erwo,美商超微半導體股份有限公司台灣分公司,半導體製造業,資訊半導體業,300人,500萬元
oe84aqo,德義資訊股份有限公司,電腦軟體服務業,資訊軟體服務,230人,1億
azry4a1,台灣亞德諾半導體股份有限公司,半導體製造業,半導體相關業,80人,1億
7e28f7c,萬寶華企業管理顧問股份有限公司,人力仲介代徵,企業人力資源解決方案服務、人才派遣服務、中高階人才轉職服務,暫不提供,暫不提供
1a2x6bl7y5,圖策科技股份有限公司,其它軟體及網路相關業,其它軟體及網路相關業,暫不提供,1056萬元
1a2x6bjf60,Dcard _狄卡科技股份有限公司,網際網路相關業,網際網路相關業,100人,3981萬元
1a2x6bicqu,兆洋資訊股份有限公司,電腦軟體服務業,電腦資訊軟體外包服務業,130人,6億
1a2x6bkws1,創未來科技股份有限公司,消費性電子產品製造業,電子產品製造業、雲端服務,50人,5600萬元
1a2x6bk6xh,中華民國血液及骨髓移植學會,其他醫療保健服務業,其他醫療保健服務業,10人,暫不提供
7dy2smo,"新加坡商凱捷管理顧問股份有限公司台灣分公司_Capgemini Asia Pacific Pte. Ltd., Taiwan Branch",電腦系統整合服務業,資訊服務業,270000人,106億
cikbtiw,Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司,電腦軟體服務業,資訊服務業,150人,暫不提供
1a2x6bjwnt,Amazon Devices/Ring_環安智控股份有限公司,電腦及其週邊設備製造業,電腦及其週邊設備製造業,1000人,5億6000萬元
auxx12g,華碩電腦股份有限公司,電腦及其週邊設備製造業,消費性電子產業,暫不提供,370億
auxx12g,華碩電腦股份有限公司,電腦及其週邊設備製造業,消費性電子產業,暫不提供,370億
cqcrfnk,昕力資訊股份有限公司,電腦軟體服務業,資訊軟體系統解決方案與顧問服務商,450人,8400萬元
