公司代碼,公司名稱,公司類別(大),公司類別(小),公司人數,公司資本額
1a2x6bi8ln,凡谷興業有限公司,其它軟體及網路相關業,其它軟體及網路相關業,暫不提供,1億6000萬元
d2jm3yw,樂利數位科技股份有限公司,網際網路相關業,網際網路相關業,80人,5億
1a2x6bjv6v,艾新科環保材料有限公司,其他電子零組件相關業,其他電子零組件相關業,暫不提供,暫不提供
5ucjyv4,尊博科技股份有限公司,電腦軟體服務業,博弈產業遊戲及商用遊戲機研發及製造,200人,4億
1a2x6bi80a,GIS-KY(6456)業成集團_英特盛科技股份有限公司,光電產業,電子相關製造業,暫不提供,暫不提供
1xzkino,國泰世華商業銀行股份有限公司_人力資源部,銀行業,金融服務業,9000人,695億
1a2x6bi257,核聚股份有限公司,其他金融及輔助業,提供員工股權激勵計畫、投資理財、員工彈性福利等金融服務。,100人,8000萬元
1a2x6bl59p,昕燁國際有限公司,電腦軟體服務業,電腦軟體服務業,30人,50萬元
cv11cj4,OB嚴選_橘熊科技股份有限公司,網際網路相關業,網際網路相關業/網路購物/服裝銷售,280人,1億
1a2x6bjjhc,大數據股份有限公司,其它軟體及網路相關業,數據分析、網路應用、軟體開發、媒體經營、數位內容行銷,50人,4300萬元
1a2x6bjjhc,大數據股份有限公司,其它軟體及網路相關業,數據分析、網路應用、軟體開發、媒體經營、數位內容行銷,50人,4300萬元
b64m6g0,集太科技有限公司,電腦軟體服務業,電腦軟體服務業,11人,暫不提供
13xn0qy0,安泰商業銀行股份有限公司,銀行業,金融服務業,1500人,200億
1a2x6bilhz,伊雲谷數位科技股份有限公司,網際網路相關業,雲端運算服務專家,300人,8億
ib97u0,財團法人中衛發展中心,工商顧問服務業,管理顧問業,300人,7868萬元
1a2x6bjjhc,大數據股份有限公司,其它軟體及網路相關業,數據分析、網路應用、軟體開發、媒體經營、數位內容行銷,50人,4300萬元
1a2x6bjqnj,新博軟體開發股份有限公司,電腦軟體服務業,電腦軟體服務業,109人,1400萬元
1xzkino,國泰世華商業銀行股份有限公司_人力資源部,銀行業,金融服務業,9000人,695億
1xzkino,國泰世華商業銀行股份有限公司_人力資源部,銀行業,金融服務業,9000人,695億
1a2x6bk6bz,富盈數據股份有限公司,其它軟體及網路相關業,其它軟體及網路相關業,40人,1億
1a2x6bk6bz,富盈數據股份有限公司,其它軟體及網路相關業,其它軟體及網路相關業,40人,1億
1a2x6blcxx,豪銳資訊有限公司,電腦軟體服務業,電腦軟體服務業,10人,250萬元
1a2x6blb6s,品優科技有限公司(籌備處),電腦軟體服務業,手機遊戲軟體設計營運,暫不提供,暫不提供
fznlds,元智大學,大專校院教育事業,學校及文教機構,900人,暫不提供
1a2x6bktpo,優聘資訊科技有限公司,人力仲介代徵,資訊服務業,暫不提供,暫不提供
wi4quiw,迅得機械股份有限公司,電力機械器材製造修配業,自動化機器設備業,800人,6億300萬元
1a2x6bkk7h,BitAsset_亞太易安特科技有限公司,其它軟體及網路相關業,區塊鍊科技應用,30人,暫不提供
1a2x6bko1t,愛達科技有限公司,藥品╱化妝品及清潔用品零售業,化妝品保養品/織品與飾品/電子商務/通路行銷,暫不提供,暫不提供
1a2x6bjgsz,瑞保網路科技股份有限公司,網際網路相關業,Fintech P2P Lending,暫不提供,1億
1quaxzk,聯合報股份有限公司,其他出版業,報紙廣告出版業,2295人,暫不提供
1a2x6bi7m9,鎧勝控股_日冠金屬股份有限公司,電腦及其週邊設備製造業,金屬機殼加工,暫不提供,暫不提供
wdapdfc,霖園關係企業_神坊資訊股份有限公司,網際網路相關業,電子商務營運與網路電信加值服務,130人,4億9999萬元
1a2x6bl9s5,英屬開曼群島商長穩智能科技股份有限公司台灣分公司,電腦系統整合服務業,智能化農場管理顧問團隊，結合[生技畜牧技術]、[管理系統資訊技術]、[RFID無線射頻設備技術]三大核心能力。,暫不提供,3億
18pcqfps,精誠資訊股份有限公司,電腦系統整合服務業,資訊服務業,2000人,26億7000萬元
wdapdfc,霖園關係企業_神坊資訊股份有限公司,網際網路相關業,電子商務營運與網路電信加值服務,130人,4億9999萬元
1a2x6bl59p,昕燁國際有限公司,電腦軟體服務業,電腦軟體服務業,30人,50萬元
5wthkkw,緯創資通股份有限公司,電腦及其週邊設備製造業,資訊通訊產品軟硬體,80000人,277億
1a2x6bl59p,昕燁國際有限公司,電腦軟體服務業,電腦軟體服務業,30人,50萬元
1a2x6bjwm5,萬豐人力資源管理顧問有限公司,人力仲介代徵,高階獵才,暫不提供,500萬元
1xzkino,國泰世華商業銀行股份有限公司_人力資源部,銀行業,金融服務業,9000人,695億
wjct48g,國泰金控_國泰金融控股股份有限公司,金融控股業,金融證券保險相關業,400人,1200億
1xzkino,國泰世華商業銀行股份有限公司_人力資源部,銀行業,金融服務業,9000人,695億
1a2x6bks7e,新愛世科技股份有限公司,其他商品批發業,資訊技術服務,暫不提供,暫不提供
1a2x6blc4k,智炬科技股份有限公司,電腦軟體服務業,電腦軟體服務業,暫不提供,暫不提供
7lka688,凌網科技股份有限公司,電腦系統整合服務業,軟體開發設計/系統整合,350人,3億4633萬元
lcogheg,渣打國際商業銀行股份有限公司,銀行業,金融相關業,3000人,暫不提供
agf7nww,永慶房產集團_永慶房屋仲介股份有限公司,不動產經營業,不動產相關業,3000人,暫不提供
1a2x6blcz2,新加坡商蝦皮娛樂電商有限公司台灣分公司,多媒體相關業,網際網路相關業,暫不提供,暫不提供
1a2x6bjck7,浚鴻數據開發股份有限公司,其它軟體及網路相關業,巨量數據分析及應用模式開發,20人,2500萬元
5wthkkw,緯創資通股份有限公司,電腦及其週邊設備製造業,資訊通訊產品軟硬體,80000人,277億
1a2x6bio5g,91APP_九易宇軒股份有限公司,網際網路相關業,全球品牌「新零售」浪潮掀起，消費場景重新定義，面對新市場環境與互聯網高速演進，許多零售品牌甚至大型實體門市被迫快速數位轉型。新零售時代，聚焦趨勢放眼未來，91APP以台灣為起點，協助零售品牌全面升級。,400人,2億
1a2x6bj754,VS MEDIA_台灣金媒體有限公司,廣告行銷公關業,廣告行銷公關業,30人,600萬元
1a2x6blafo,烽泰科技有限公司,其他金融及輔助業,其他金融及輔助業,105人,暫不提供
o5qtyqg,拓凱實業股份有限公司,其他相關製造業,運動休閒產品、航太醫療產品、原物料及其他,280人,9億820萬元
1a2x6blafo,烽泰科技有限公司,其他金融及輔助業,其他金融及輔助業,105人,暫不提供
1a2x6bldf2,臺灣特力智慧科技有限公司,電腦軟體服務業,電腦軟體服務業,30人,3000萬元
1a2x6bk3kz,泰浩科技有限公司,電腦軟體服務業,其他金融機構相關,20人,500萬元
1a2x6bj9jb,早餐吃麥片_饌元有限公司,食品什貨零售業,食品什貨零售業、天然食品、電子商務,45人,8000萬元
5wthkkw,緯創資通股份有限公司,電腦及其週邊設備製造業,資訊通訊產品軟硬體,80000人,277億
d6e60s8,若水國際股份有限公司,工商顧問服務業,資訊服務業,80人,4億4800萬元
wifkjug,亞太電信股份有限公司,電信相關業,電信科技服務業,暫不提供,429億823萬元
130xbmnc,岱妮蠶絲股份有限公司,鞋類／布類／服飾品零售業,服飾零售與絲質布料販售,100人,3800萬元
1a2x6bjck7,浚鴻數據開發股份有限公司,其它軟體及網路相關業,巨量數據分析及應用模式開發,20人,2500萬元
1a2x6bk3kz,泰浩科技有限公司,電腦軟體服務業,其他金融機構相關,20人,500萬元
1a2x6bl7te,卓躍有限公司,其它軟體及網路相關業,資訊軟體服務業,暫不提供,暫不提供
1a2x6bjlcp,科萊博瑞科技有限公司,電腦軟體服務業,開發及維護大型跨國網站,130人,暫不提供
ck3t17s,OK_忠訓國際股份有限公司,其他金融及輔助業,其他金融及輔助業,170人,2350萬元
cr8bru0,台灣大車隊股份有限公司,休閒服務業,一般服務業、網際網路業、廣告媒體銷售、旅遊休閒,430人,5億64萬元
1a2x6bktpo,優聘資訊科技有限公司,人力仲介代徵,資訊服務業,暫不提供,暫不提供
3eyww3c,新光合成纖維股份有限公司,人造纖維製造業,塑化業,2000人,230億
13qu7sqo,永豐商業銀行股份有限公司,銀行業,金融,暫不提供,1000億
a4hvxa0,天下雜誌股份有限公司,雜誌／期刊出版業,新聞媒體傳播,500人,暫不提供
1a2x6bkvw7,聯合智網股份有限公司,網際網路相關業,電子商務服務/品牌營銷/數據整合及分析,250人,2億5000萬元
wilhgyw,玉山綜合證券股份有限公司,證券及期貨業,金融證券相關業務,560人,40億
1a2x6bi80a,GIS-KY(6456)業成集團_英特盛科技股份有限公司,光電產業,電子相關製造業,暫不提供,暫不提供
fsx8rcw,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,醫院,醫療業,3200人,暫不提供
13qu7sqo,永豐商業銀行股份有限公司,銀行業,金融,暫不提供,1000億
1a2x6bi64q,上禾紡織有限公司,紡織成衣業,紡織業,50人,1200萬元
2byd7nl,資策會_財團法人資訊工業策進會,電腦軟體服務業,資訊服務業,2000人,7億
1a2x6bk1k6,威聯網科技有限公司,網際網路相關業,網際網路相關業,7人,300萬元
1a2x6bkxph,伊諾科技有限公司,電腦系統整合服務業,遊戲軟體開發服務,120人,暫不提供
am935lk,永豐金證券股份有限公司,證券及期貨業,金融證券業,2100人,162億
1a2x6bkpcc,牧陽能控股份有限公司,光電產業,太陽能發電系統ヽ沼氣生成與發電系統ヽ空氣源熱泵系統ヽ能源監控系統與綠色能源系統整合工程之開發ヽ設計ヽ監造ヽ建置ヽ保養與維運等,27人,8282萬元
wjct48g,國泰金控_國泰金融控股股份有限公司,金融控股業,金融證券保險相關業,400人,1200億
